event_id,stations,baseline_rmse,h_ratio,best_spacing,best_ratio
160266496900,12,7935.471355538375,1.1903117549953346,0.52,0.49525722088379853
132970558500,18,7222.265260233727,1.0015314328837601,0.4,0.12807125023370503
92940331600,20,274.5506133105326,1.1729843011941758,2.2600000000000002,0.895312557423182
190618140100,16,6580.966521910861,0.7903825938333904,2.2800000000000002,0.6585139369190901
191107901500,18,4932.289311713053,1.0603729691012374,0.52,0.5289129831501146
181745526400,16,640.6871235909628,1.0731400012024632,0.8,0.32980446257671786
152688398700,75,82.00806108303973,1.0038441216043936,1.12,0.9721978462863463
182173920500,12,3370.4245680244253,1.167986790467441,0.92,0.3165581393252401
113614713800,24,294.31425657991804,1.039581029626843,0.54,0.9327706213929856
80184305000,24,762.4893357257976,1.47332318848794,0.4,0.6729901266501508
83294219100,19,652.8322560902794,1.4646645566327494,2.22,0.7105333690116463
182725315700,31,278.9993409922301,1.0517250816523305,0.6000000000000001,0.9592482592771535
112153572300,13,438.9757873686405,2.9759583856871465,0.56,0.9873548394943855
180752606600,18,480.524733485932,2.1846963254168545,0.42000000000000004,1.035758673168533
60875050600,12,551.3652345199172,1.3770902123785764,0.68,0.983812294193264
170956426400,13,3556.106487149416,1.0416098457677556,1.52,0.7754248194703404
90806991400,18,609.7389387023278,0.7258206622471807,1.6600000000000001,0.46291728808637717
101480978600,19,266.425952287416,1.1774551284237365,0.42000000000000004,0.5000325106909794
173613697300,23,572.4077783337373,0.955671043758658,0.8200000000000001,0.818856316243435
132478291200,22,206.12709187467996,0.7960986261249967,1.1800000000000002,0.6232555189730645
73145618700,54,1191.7311450381376,1.0206075890298136,1.02,1.0091511644347226
73451288300,21,989.0053737809893,1.6185467241733082,2.4,0.8167771478865419
102843634000,17,1213.668640066326,1.3271263762665872,2.4,0.5692182677878558
112946143700,15,413.63755957114984,1.2568475011911078,0.74,0.7043644176167468
43390608100,21,306.3519017293425,1.1237104827512856,0.62,0.9129396225531886
192033457700,14,1016.835601345504,0.9824800021481918,0.4,0.8741250394183923
193400643100,14,285.04503271719415,1.3409627741667878,0.44,0.8696536803446996
143534401300,22,488.4092078609109,1.1171248385054278,0.46,0.805980355085115
41423234800,33,187.28139656305603,1.0491346485995285,0.9400000000000001,0.9621429047810355
111061311000,60,46.91490631642445,1.0254806559329253,0.5,0.9839295054164424
180073811000,17,1931.769575946287,1.1103936818743771,0.8200000000000001,0.7419856252536906
190862492100,29,190.5916766696449,1.066915600407119,0.66,0.8877187857449583
140305579500,30,171.48670992137883,0.9808054603905799,0.8600000000000001,0.7917185064026585
111776182400,16,368.74291952147354,1.4991804217402864,0.42000000000000004,0.8901025870573118
82647336800,20,268.2255567722539,1.2346378794360477,2.12,0.9221927132017104
