spacing,geometric_mean_ratio,median_ratio
0.4,1.1264397335388816,1.0498996557569191
0.42000000000000004,1.098202837587925,1.040272658154489
0.44,1.1298515381290677,1.0521203116020483
0.46,1.1105923919081366,1.0586781854290428
0.48000000000000004,1.0790057441857694,1.0418006611808714
0.5,1.0956516997855634,1.064846665828605
0.52,1.1260743291188067,1.0750144664597354
0.54,1.0864836198283017,1.0646299993667752
0.56,1.0898813401387988,1.049143954390808
0.5800000000000001,1.0784253401615416,1.0575068505811218
0.6000000000000001,1.0978882461942079,1.0539606162947794
0.62,1.104731241209549,1.0654172529320713
0.64,1.121653948861274,1.0684774790029554
0.66,1.1226587810480073,1.0672702767409712
0.68,1.1188996881877666,1.0660934752883402
0.7,1.1033692479887052,1.0581740613853508
0.72,1.1210380737634833,1.050962643842612
0.74,1.1147678075789136,1.0505299176057226
0.76,1.110493769925258,1.0476644957249939
0.78,1.1153623569805895,1.0697385106762498
0.8,1.140282105852314,1.0649000014235748
0.8200000000000001,1.1443313785493632,1.0640251867662605
0.8400000000000001,1.1274766810844175,1.0665017628264668
0.8600000000000001,1.113095830055194,1.0419074579008598
0.88,1.108045061971846,1.0539226595127904
0.9,1.1237430561549044,1.061738009768858
0.92,1.119526737472963,1.054029417109812
0.9400000000000001,1.1058041106707734,1.0407710084695145
0.9600000000000001,1.093006131812952,1.0476017225254997
0.98,1.0902642835267988,1.059934002375183
1.0,1.0923290329708064,1.0663181502610455
1.02,1.090670589131444,1.05583869907597
1.04,1.0966758617379837,1.0618783682077302
1.06,1.1004410839140941,1.0714724659261652
1.08,1.1038231201991338,1.062675392026273
1.1,1.1076023223892077,1.0651608579494372
1.12,1.1095223531259386,1.0655689838174232
1.1400000000000001,1.108296740801669,1.0638094558301479
1.1600000000000001,1.1054006675855876,1.074798379536312
1.1800000000000002,1.1020116816067111,1.0851938017586917
1.2000000000000002,1.0996251335999938,1.0732747289876927
1.2200000000000002,1.098526560363212,1.0655018901267987
1.24,1.0940509365668967,1.0621084777745005
1.26,1.0844311455335955,1.0680996851447737
1.28,1.0779946452226152,1.0740046209249552
1.3,1.0762637414960736,1.0562453714664761
1.318859065462452,1.0773919462548212,1.0556123989736335
1.32,1.0775052355741688,1.0551361334637583
1.34,1.0801306261562522,1.0526553317276544
1.3599999999999999,1.0842643833858492,1.0524826646002114
1.38,1.090020206940846,1.04929833819685
1.4,1.0949951141533791,1.0481838975231532
1.42,1.0972415862886515,1.057117196333604
1.44,1.0973714520856208,1.067015985835988
1.46,1.0949515048661145,1.0726844206068908
1.48,1.0917610396339723,1.0513762383238026
1.5,1.0955924720718586,1.0549884724103078
1.52,1.106122760245809,1.0680281139906183
1.54,1.1142163067898776,1.0669171515295088
1.56,1.1196225217317564,1.0683674500844298
1.58,1.1229682378444985,1.0707121666408048
1.6,1.1249075439134064,1.0691257292473586
1.62,1.1259350295922768,1.067465977886582
1.6400000000000001,1.126252229053545,1.0734105955724917
1.6600000000000001,1.125874212652351,1.0718033178637825
1.6800000000000002,1.1247587734718196,1.0721609371618364
1.7000000000000002,1.1228236323335274,1.065380628192146
1.7200000000000002,1.1200923847180346,1.0649458289110407
1.7400000000000002,1.1172422010557617,1.0645085959278742
1.7600000000000002,1.114563349722091,1.0631697497411332
1.7800000000000002,1.1118235710735387,1.0664725752303739
1.8000000000000003,1.1086539995150693,1.055471136387655
1.8199999999999998,1.1046644477524108,1.0572623922020015
1.8399999999999999,1.0997171553764142,1.050467569237964
1.8599999999999999,1.0940955446708045,1.0545527118743532
1.88,1.0883116896481875,1.0527465384955192
1.9,1.0827747400580638,1.0442803723722303
1.92,1.0777277256323374,1.0369185173484028
1.94,1.0732949490014179,1.0416848660060385
1.96,1.069486691738693,1.0478250966479057
1.98,1.0662534902030403,1.0517078319940636
2.0,1.0635469847242167,1.049900452076072
2.02,1.0613362169813496,1.049501024480166
2.04,1.0595997327895188,1.0474930281271584
2.06,1.0583225670290777,1.0461606741538867
2.08,1.0575045845787683,1.0441764605026236
2.1,1.057164391424277,1.0470088542954181
2.12,1.057316961935916,1.0421101414564387
2.14,1.0579471051121907,1.0436391925480732
2.16,1.0590243624900226,1.045881619208299
2.18,1.060520154929072,1.0463708224214108
2.2,1.0623799495932489,1.0372103736254725
2.22,1.0644977124612562,1.0499068817455386
2.24,1.0667376468959788,1.0486801534289194
2.2600000000000002,1.0689774549518356,1.0451865547959625
2.2800000000000002,1.0711322174861222,1.0476333905875896
2.3000000000000003,1.0731489925802093,1.0455258749937544
2.32,1.0749861237162288,1.0446809951076699
2.34,1.0765970374036302,1.0419262110225667
2.36,1.077930166534972,1.0444148475307056
2.38,1.0789425551958376,1.050131674196576
2.4,1.0796168443295615,1.0467870766197485
