spacing,geometric_mean_ratio,median_ratio
0.4,1.1412951971936185,1.1084719105161844
0.42000000000000004,1.1493509279443508,1.0976036289320725
0.44,1.1206624623120598,1.0599916027949932
0.46,1.133478478580798,1.077922341296438
0.48000000000000004,1.116094336438796,1.0868431302213386
0.5,1.0992541360316883,1.0993303393542557
0.52,1.1645420547482122,1.1134237546289427
0.54,1.1317271625284486,1.0758854583280566
0.56,1.1751486479964905,1.083470445827645
0.5800000000000001,1.169634780668017,1.120100143986776
0.6000000000000001,1.1451024803691863,1.113892251860113
0.62,1.1259266482565593,1.088802542231838
0.64,1.1465129669656013,1.0936825940749106
0.66,1.1468747008113838,1.1095506302322085
0.68,1.1555138456785115,1.1075079945699808
0.7,1.1444512621928942,1.1014202404577356
0.72,1.1614400555207545,1.089419326186198
0.74,1.1802071824532814,1.0950368828791506
0.76,1.1523505009248498,1.0821924960689608
0.78,1.1420284060068677,1.086598887923885
0.8,1.1350081134834755,1.078830691052966
0.8200000000000001,1.1398429950095303,1.0798475117027406
0.8400000000000001,1.133500356385496,1.0739302003684226
0.8600000000000001,1.1101035049539842,1.0855251573609703
0.88,1.0808589363871732,1.0634645542325636
0.9,1.0769947708374052,1.0557964697059177
0.92,1.0804115543258341,1.0773232340978631
0.9400000000000001,1.0806882956404809,1.0775380886706833
0.9600000000000001,1.0916147598774117,1.0776254568174588
0.98,1.1132928507856947,1.0837094157450877
1.0,1.1230427607830062,1.0784244975822543
1.02,1.118465269601362,1.083671490530092
1.04,1.1181596942424108,1.0998127594866722
1.06,1.118829719990325,1.1042494797032119
1.08,1.119273608620024,1.0957437349505028
1.1,1.1136262885918493,1.093648572212825
1.12,1.110098473649628,1.084658979381629
1.1400000000000001,1.104474674471752,1.0793261530269003
1.1600000000000001,1.098443813194032,1.079473374304127
1.1800000000000002,1.0964409628204392,1.0719736774739574
1.2000000000000002,1.098077588710042,1.091574486207965
1.2200000000000002,1.1045087080494445,1.0943638405757832
1.24,1.1118027441803942,1.091010700232157
1.26,1.1104827869967693,1.085270773779625
1.28,1.1117134252025478,1.0783719083986874
1.3,1.1182658695005419,1.0709461581284272
1.318859065462452,1.1245394094053152,1.0707258018267596
1.32,1.1248578486729865,1.070807534868623
1.34,1.1288970140111594,1.068885935923876
1.3599999999999999,1.130330090369762,1.064849591174335
1.38,1.129604273485735,1.069120618821136
1.4,1.1296787268525676,1.0813793298873244
1.42,1.1310050436308419,1.0722156369120515
1.44,1.1322986635503998,1.0877424451104925
1.46,1.133893167570554,1.1062654488562398
1.48,1.1361655823393333,1.0846829554460524
1.5,1.1384796119063458,1.0923137968062362
1.52,1.1391270711143484,1.1009881303521456
1.54,1.1363903946972123,1.0951647129078397
1.56,1.1306470453826443,1.0960422626646695
1.58,1.1240606032282543,1.0992841743178225
1.6,1.1173047001473813,1.0904084598477575
1.62,1.1100731182080066,1.0918819840989533
1.6400000000000001,1.1024237683431668,1.0704533601015411
1.6600000000000001,1.094732355154325,1.0770490936637227
1.6800000000000002,1.087688475136379,1.0846715562310383
1.7000000000000002,1.083134043192656,1.0845445223016217
1.7200000000000002,1.085216648666093,1.0828390878682765
1.7400000000000002,1.0928518633419655,1.0889642014177652
1.7600000000000002,1.1014929724044547,1.1027969461052902
1.7800000000000002,1.1096726739153848,1.1085637244686903
1.8000000000000003,1.1170445661125228,1.1104485822480836
1.8199999999999998,1.1234985153735872,1.1101500830420783
1.8399999999999999,1.1290562860163622,1.100936841349275
1.8599999999999999,1.1338125635573775,1.1101132614099334
1.88,1.1378045156812062,1.1170499355025192
1.9,1.1409857096391898,1.1194833047705475
1.92,1.1432927572947595,1.121771924951176
1.94,1.1446872040067646,1.112074738793376
1.96,1.1452025257280747,1.1090432852358567
1.98,1.1449573664459107,1.1103036281034881
2.0,1.144123205204142,1.115518872738858
2.02,1.1428822210859437,1.105349256572178
2.04,1.1413760935581347,1.0979982069819834
2.06,1.1396835671319492,1.1037569464161552
2.08,1.1378580947986434,1.1053935845762726
2.1,1.135984607109601,1.10152153197761
2.12,1.1341968515355287,1.0975297929609302
2.14,1.1326347491418076,1.0999358287922238
2.16,1.1313859252640446,1.1041160528039882
2.18,1.130465152270188,1.1077239174347668
2.2,1.1298334177236224,1.110827374245032
2.22,1.1294283993281449,1.109290248228999
2.24,1.1291863941451346,1.104863303326
2.2600000000000002,1.1290532910381148,1.1077700706038311
2.2800000000000002,1.128991664955763,1.110750300440672
2.3000000000000003,1.1289876417169895,1.1113924073294685
2.32,1.1290526422768565,1.1066541493661055
2.34,1.1292129938045237,1.1118373496826952
2.36,1.1294868299585061,1.1173611485786155
2.38,1.1298587093672556,1.123123589577568
2.4,1.1302698350551428,1.1160810384805124
