spacing,geometric_mean_ratio,median_ratio
0.4,1.1216606489865741,1.0900741910692746
0.42000000000000004,1.1061869450715038,1.0974609579346972
0.44,1.1732815329026993,1.1178311411982544
0.46,1.1386064711979573,1.078747406981296
0.48000000000000004,1.1431696447838602,1.1070062822326125
0.5,1.2051490692239049,1.1099494396489293
0.52,1.1782404162567324,1.079985674577182
0.54,1.1400771856116334,1.1030397214098744
0.56,1.1497755669162797,1.0659519113086424
0.5800000000000001,1.1301575316420016,1.0572050120215224
0.6000000000000001,1.1200245209318285,1.0511532259443859
0.62,1.1208705063567808,1.0673692004896969
0.64,1.1476423333976893,1.071238533499033
0.66,1.1503195909718198,1.1072981329658105
0.68,1.1922407812043674,1.1198558170160982
0.7,1.1478335841349874,1.0956566257179727
0.72,1.1398724211415845,1.0908028605593623
0.74,1.1206144686658452,1.0657448494462785
0.76,1.1039386512495584,1.069089802106596
0.78,1.1046781796656107,1.091444646407935
0.8,1.1077730937673094,1.0916126065165834
0.8200000000000001,1.0989535402662094,1.0747359938652978
0.8400000000000001,1.1156285294588688,1.078560168799918
0.8600000000000001,1.1294027961702837,1.0803902724771994
0.88,1.1495888482211771,1.0729935393844114
0.9,1.1571027782233905,1.0716808222851664
0.92,1.1328163218700584,1.0871586814590963
0.9400000000000001,1.1102702896083747,1.0891942639501078
0.9600000000000001,1.1156880425418036,1.1012947798439234
0.98,1.1224905248698778,1.0759793730055707
1.0,1.1312916787590954,1.0940453647771946
1.02,1.1353988917410178,1.0960362144041655
1.04,1.1444063310436299,1.1073348066082482
1.06,1.1498924150877436,1.1116489991555902
1.08,1.1526856642164718,1.1084647296881474
1.1,1.145512116374206,1.1113183085423248
1.12,1.1494487169166312,1.099825208439835
1.1400000000000001,1.1540114657686713,1.1054069323319915
1.1600000000000001,1.153113982874552,1.092908331728112
1.1800000000000002,1.1496298023989713,1.0971345158886268
1.2000000000000002,1.1496077172381467,1.098302075042721
1.2200000000000002,1.1478477816137813,1.0845137669676284
1.24,1.1493092592358098,1.0836963419091956
1.26,1.1515092284053245,1.0808030806311122
1.28,1.1534881111067676,1.086067216006878
1.3,1.1546610614724442,1.0918893192244608
1.318859065462452,1.155468806025888,1.0963042940730379
1.32,1.1555384955290953,1.0965772900518045
1.34,1.1575877415563385,1.1012614665306353
1.3599999999999999,1.1612595300621118,1.105419692607731
1.38,1.164437089474733,1.1021885966385345
1.4,1.162044307916714,1.0973927565693644
1.42,1.15551094782593,1.0939027913057953
1.44,1.1508111197894821,1.087467328639773
1.46,1.1485663625646179,1.0892421468440712
1.48,1.146942833000388,1.1096476652476455
1.5,1.1445315506903528,1.1222126872658627
1.52,1.1406363800797705,1.1104518303794166
1.54,1.1353988387891107,1.112265524975055
1.56,1.129876842887322,1.1069771152331291
1.58,1.1252892438163178,1.1033103911686322
1.6,1.1218570606398823,1.101313023754073
1.62,1.1191609914812257,1.1010389143948898
1.6400000000000001,1.116734438285831,1.10165995229406
1.6600000000000001,1.114216654788917,1.093874237971915
1.6800000000000002,1.111297753680754,1.0943040326257452
1.7000000000000002,1.1077936543764326,1.103049279848628
1.7200000000000002,1.1037842927702126,1.0999356611047026
1.7400000000000002,1.0995348830799194,1.096344178410379
1.7600000000000002,1.0952786884728367,1.0915932199435951
1.7800000000000002,1.0911739136822618,1.089697906700934
1.8000000000000003,1.087304976121965,1.0986592197108345
1.8199999999999998,1.0837927664311915,1.1004889550205446
1.8399999999999999,1.081011301426114,1.0960386856471767
1.8599999999999999,1.079439938549458,1.0941237328787585
1.88,1.0790576996750725,1.0829659198697277
1.9,1.079417053893443,1.0783380235717988
1.92,1.0802059787486546,1.0745284551500314
1.94,1.0813478331193627,1.063061861114703
1.96,1.0828311394918342,1.0665851279247918
1.98,1.0845397631478442,1.0709054962862492
2.0,1.0862496987755206,1.0785672009678793
2.02,1.0877554014602266,1.0878113905440123
2.04,1.0889487090005279,1.084430161084012
2.06,1.0898192443583534,1.0848956234043434
2.08,1.0904338296377913,1.0874032852263704
2.1,1.0909324323969205,1.0810700660388195
2.12,1.0914865348463616,1.0755123769677366
2.14,1.0921992032878673,1.078349037264911
2.16,1.0930740867138895,1.0814285493007352
2.18,1.0940834455669237,1.083236937895754
2.2,1.0952089431783487,1.0852473576690955
2.22,1.096437265943798,1.0834756416982594
2.24,1.0977623824903286,1.0804763284423462
2.2600000000000002,1.0991922832981116,1.0774834554233477
2.2800000000000002,1.1007399912676157,1.0726028802355827
2.3000000000000003,1.102405808990962,1.075372754101516
2.32,1.1041698299223763,1.0745668671816315
2.34,1.1059997630581175,1.0731502085042184
2.36,1.1078643725170787,1.0816690740141661
2.38,1.1097421963763676,1.083843498774016
2.4,1.1116224382205182,1.0910707451334682
