event_id,stations,baseline_rmse,h_ratio,best_spacing,best_ratio
160266496900,12,2.630069266143814,0.6774541338042763,2.18,0.48652430304973093
132970558500,18,1.0252831507183193,0.9927884663218853,0.5,0.4021589296905037
92940331600,20,0.24771017129276438,1.4080134445954535,0.74,0.8856670897044602
190618140100,16,0.276473898638159,1.2792299259536455,1.04,0.5925181637155162
191107901500,18,2.615970602999988,1.036943184158604,0.44,0.35326673462556585
181745526400,16,0.46474460338695894,1.3285276600536158,0.54,0.5505091172339558
152688398700,75,0.1721070603153351,0.9968737271999597,2.4,0.9642938244197037
182173920500,12,0.23761251883577889,1.2257829998500713,1.7200000000000002,0.7624635550940753
113614713800,24,0.21253664139452808,1.3109843597865651,0.74,0.9692962273398749
80184305000,24,0.292807257814191,1.253638377457947,0.42000000000000004,0.8113723338082522
83294219100,19,0.2757378950252548,0.9960568274004094,0.44,0.9172897481730687
182725315700,31,0.22240665596002063,1.0181784506148988,1.7800000000000002,0.9822389435194836
112153572300,13,0.9994169406699528,0.9788418879747962,0.46,0.32085780240215606
180752606600,18,0.5481519942850435,1.1048632986429565,0.62,0.6373809144014148
60875050600,12,0.23682933334926012,1.8127491559291795,0.42000000000000004,0.6095038949351241
170956426400,13,0.3437523710398521,1.488293960149704,2.4,0.7561049386173815
90806991400,18,0.5397707419495097,1.0950129323405104,0.5800000000000001,0.5502961311851688
101480978600,19,0.1915032106578602,0.91392351914342,0.98,0.7380700006061766
173613697300,23,0.26648647006713094,1.0893240518931133,0.6000000000000001,0.682326314359401
132478291200,22,0.26045649985903774,1.015793489469522,2.4,0.619496647201839
73145618700,54,0.15503603466737803,1.0587081666824694,2.4,0.9844241840573031
73451288300,21,0.35308430531117385,0.8857082081654565,1.1800000000000002,0.5926430721543632
102843634000,17,0.2613565329026263,2.3055344752330855,0.56,0.9149732339448562
112946143700,15,0.17942663616553728,1.1917145410251457,0.54,0.8582600403865931
43390608100,21,0.17167784792963872,1.0643616524710946,0.44,0.9233608008437321
192033457700,14,0.21769275706572883,1.4176521575686327,0.88,0.9404973812835623
193400643100,14,0.23558559674122756,1.0236169577331875,0.8600000000000001,0.7678185558952855
143534401300,22,0.310703352404968,0.9926389397468623,1.28,0.9666227219447643
41423234800,33,0.14124201281924115,1.0857986779378184,1.06,0.9561839308668016
111061311000,60,0.14718449014888557,1.0143369300300256,0.44,1.0011201278893427
180073811000,17,0.33454116095543207,1.4471083066842265,1.46,0.8728113610438476
190862492100,29,0.1672757187927547,1.0375558882242806,0.44,0.8059609192570139
140305579500,30,0.13085207767948245,0.9602714723371073,1.34,0.9510119923905825
111776182400,16,0.22610367741619825,1.2222678817448998,1.94,0.7694966642049055
82647336800,20,0.17473451736340545,1.0555713203809403,1.92,0.9090152163385657
121622030300,25,0.17515588295357282,1.1574160857497429,1.6800000000000002,0.9942430424504853
182242127601,23,0.2005511002283804,1.1104756473401467,0.92,1.0034201173245545
92747991300,75,0.12794950043007847,1.0417803378368315,0.42000000000000004,0.9701124717245984
162284959100,19,0.17692500989095053,0.8966119032445986,0.4,0.8305801790259514
142641379200,17,0.27083758959704746,1.2935458338157244,0.5,0.7051840283743688
203425618600,48,0.1782600301918393,1.0707258018267596,0.44,0.9654164803370427
172090621200,27,0.23558596158085868,1.4274987434951547,1.58,0.9524539800643796
82685012000,24,0.29548419479958443,1.2895637716933197,1.6600000000000001,0.7612268896353007
201411896900,31,0.20910172702981325,1.029839958436052,1.5,0.8461815791549236
61268623100,31,0.43570353950049495,0.9202962344825303,0.5800000000000001,0.8443464433495952
