event_id,member,stations,energy_EeV,theta_deg,baseline_rmse_ns,h_rmse_ns,h_ratio,best_spacing,best_ratio
160266496900,data/PAO160127.json,14,122.3,22.6,201.9029700647173,391.9400812673981,1.9412298944476496,1.8399999999999999,0.9233800111516981
132970558500,data/PAO131024.json,19,85.3,39.0,142.1770434427902,205.98032637742014,1.4487593875188676,0.44,0.840009787148536
92940331600,data/PAO091021.json,21,89.6,45.4,237.2739146372688,283.57924844299936,1.1951556026566157,0.56,0.9623147377117183
190618140100,data/PAO190303.json,17,107.6,48.6,77.84031626432981,114.35266691765283,1.4690673471743683,0.7,0.9513902124857097
191107901500,data/PAO190421.json,19,86.0,43.4,177.80525473427835,210.99353055217233,1.1866552024432142,1.44,0.9197510349265049
160685790300,data/PAO160309.json,15,115.2,23.7,292.8622123381099,405.7836931030351,1.3855788695420943,0.74,0.7824910466493837
53067337100,data/PAO051103.json,13,82.5,14.0,267.9008483717008,266.2516963392978,0.993844170175546,1.28,0.6995306754448354
192940891200,data/PAO191021.json,13,89.5,32.8,207.72022487146555,280.35276894406275,1.3496652486176597,0.88,0.8494674258591206
181745526400,data/PAO180624.json,16,109.6,42.7,91.44916265179845,147.76877705385445,1.6158570813436357,1.56,0.8913185332487068
152688398700,data/PAO150926.json,75,113.3,77.2,36.817815875015086,39.40626463861113,1.0703042454333254,0.46,0.9497173850695183
182173920500,data/PAO180805.json,12,100.7,9.9,564.9874407753276,1174.9964365496637,2.079685939455974,2.22,0.81515690844915
113614713800,data/PAO111228.json,24,107.8,47.4,306.6070192925894,319.79213509051584,1.0430033070617477,0.52,0.8575001615068474
80184305000,data/PAO080118.json,24,123.7,50.3,202.3845690273305,184.78907004765506,0.9130590881298895,0.68,0.8681561770451164
83294219100,data/PAO081124.json,19,79.1,47.7,346.6603287394424,487.65942443046464,1.4067355967835602,0.92,0.8037794291394738
182725315700,data/PAO180930.json,31,86.3,62.3,162.42636382924604,181.30853100458643,1.1162506303175674,0.5,1.0230555200640314
112153572300,data/PAO110803.json,14,80.9,34.2,225.16352123403493,475.2529685856104,2.1107014403617916,0.5800000000000001,0.7078554557496578
180752606600,data/PAO180316.json,18,85.6,46.1,141.47625144493904,206.24451356590154,1.4578030691332642,0.4,0.7716339782294961
112525083701,data/PAO110910.json,13,87.5,24.4,295.62033516779167,921.925490544543,3.118613237554398,0.8200000000000001,0.3815523945482306
60875050600,data/PAO060329.json,13,52.8,26.3,238.48008375329752,590.9872572792293,2.4781409331044717,2.1,1.2413700583644078
170956426400,data/PAO170406.json,14,82.7,21.9,484.47967038836765,784.0478229465957,1.6183296655525068,0.44,0.9052856801690828
