spacing,geometric_mean_rmse_ratio,median_rmse_ratio
0.4,1.3685292512494194,1.2342871805015827
0.42000000000000004,1.3617636654537244,1.1978151153908525
0.44,1.3767524133291686,1.2467424814850556
0.46,1.3429603963245527,1.2190606619480426
0.48000000000000004,1.329331934045353,1.1928937888066107
0.5,1.3675339270381828,1.1702338006580821
0.52,1.3429430327112346,1.2353685530203073
0.54,1.3426136805477238,1.2251434804293468
0.56,1.428601463951761,1.2690342593721877
0.5800000000000001,1.3539560213660509,1.1870836657136046
0.6000000000000001,1.3417692274929895,1.213060037411197
0.62,1.331989411807871,1.152026625174409
0.64,1.312133755952037,1.1963420166101753
0.66,1.3742436206519908,1.2125880680571726
0.68,1.3565295370473394,1.212647907066325
0.7,1.3679619797472633,1.197550841688708
0.72,1.4053984101183583,1.2116748876533572
0.74,1.391892586179654,1.2082097218017753
0.76,1.3970859173474572,1.1712976573817526
0.78,1.4897021576046332,1.1891593276016506
0.8,1.4563790090445847,1.207147927785281
0.8200000000000001,1.3989157739432907,1.226715561025571
0.8400000000000001,1.3771578666803581,1.2320671927396696
0.8600000000000001,1.392357231144749,1.2436577049589976
0.88,1.321114853180257,1.2155168554664066
0.9,1.330027125078872,1.1986020988597328
0.92,1.359003271463348,1.1875799773198195
0.9400000000000001,1.3437395265502403,1.1617970701782807
0.9600000000000001,1.3297568978107557,1.1890949924029028
0.98,1.2954738928554106,1.2171038832765506
1.0,1.3459572135301274,1.196634768186706
1.02,1.3473934148652758,1.2267409865900942
1.04,1.404020079441164,1.2410934134916742
1.06,1.4266900290556916,1.2534204649973113
1.08,1.3927095605000557,1.2438255494208594
1.1,1.3734257185743726,1.2312495131394843
1.12,1.4199751537848166,1.2443179646119422
1.1400000000000001,1.4290819006259114,1.2671870213763576
1.1600000000000001,1.4497095800397408,1.2554742246158026
1.1800000000000002,1.4141036691864648,1.2146858177548867
1.2000000000000002,1.397117944269097,1.2325925496747312
1.2200000000000002,1.403307060296008,1.2266047402022258
1.24,1.4117163321912485,1.2472125639123444
1.26,1.3701048963762523,1.2379254329333826
1.28,1.3345684513300349,1.2456824760858398
1.3,1.3430097592557562,1.2572647435348268
1.318859065462452,1.3451661370401653,1.2508857083348377
1.32,1.3467043954970148,1.2583042324570504
1.34,1.3754209355059006,1.27734838315963
1.3599999999999999,1.3423716330046986,1.242622098332764
1.38,1.3455528070958542,1.2336378244687405
1.4,1.367371506439405,1.2238963167380763
1.42,1.356165241683984,1.2273543297541187
1.44,1.3570160352386733,1.2012463425982478
1.46,1.35100595407019,1.2107569840955061
1.48,1.3787522050304928,1.2129971903512615
1.5,1.3728425101158792,1.2231746975886955
1.52,1.3897674597289549,1.2400320723588942
1.54,1.3953026803504687,1.2612591470273513
1.56,1.4081827251241417,1.263310964635259
1.58,1.378066248160586,1.2689325159464826
1.6,1.3880285301899271,1.2675889270102505
1.62,1.3505389016230418,1.2496676218260379
1.6400000000000001,1.3542295550265624,1.1913701832835866
1.6600000000000001,1.3211029541248809,1.2110095813923027
1.6800000000000002,1.329178157982531,1.201646422389574
1.7000000000000002,1.3223662306274582,1.196727734657506
1.7200000000000002,1.3356645910164286,1.1866317781368039
1.7400000000000002,1.2937959207252998,1.2074590043072229
1.7600000000000002,1.2986105456794248,1.2201438657919026
1.7800000000000002,1.2929830910815747,1.2052497945867766
1.8000000000000003,1.2864896895225248,1.1787555359087434
1.8199999999999998,1.286076497661006,1.1857161269085366
1.8399999999999999,1.3069041613191041,1.1836180978529904
1.8599999999999999,1.3380310301675256,1.1737095531285862
1.88,1.3174358446678995,1.1737081412034684
1.9,1.3106079447588421,1.1683625998003808
1.92,1.2994322675191607,1.1695943902878339
1.94,1.2986090569088007,1.1683528918705957
1.96,1.2976505928351296,1.1771581683531804
1.98,1.296604338234441,1.1808075521041625
2.0,1.2990176000712763,1.188175111967787
2.02,1.2880026204968915,1.1751264909522916
2.04,1.2864632830913818,1.1853044968929471
2.06,1.2957458229484957,1.190604227279091
2.08,1.2919493214009234,1.19714469660531
2.1,1.2947304256237875,1.1976855421570372
2.12,1.2995774924926715,1.1954853325427237
2.14,1.3027674164496592,1.193489327305801
2.16,1.3079800937454877,1.1994789098328733
2.18,1.308111167460166,1.2076113641046886
2.2,1.3105236423590039,1.2080964174376423
2.22,1.3111471357209918,1.2113554057885034
2.24,1.311812107427181,1.2276119029117498
2.2600000000000002,1.3210102475645715,1.2333346699847423
2.2800000000000002,1.3332627497648277,1.2313617866110518
2.3000000000000003,1.3415058504347248,1.2346071255402962
2.32,1.3378061736988662,1.237105261949515
2.34,1.3331520688322904,1.2323343627788388
2.36,1.3232485902308555,1.2291660775226276
2.38,1.3285433352688396,1.2435320195828787
2.4,1.3177423289437962,1.2385483437330107
