event_id,s_0.400000000,s_0.420000000,s_0.440000000,s_0.460000000,s_0.480000000,s_0.500000000,s_0.520000000,s_0.540000000,s_0.560000000,s_0.580000000,s_0.600000000,s_0.620000000,s_0.640000000,s_0.660000000,s_0.680000000,s_0.700000000,s_0.720000000,s_0.740000000,s_0.760000000,s_0.780000000,s_0.800000000,s_0.820000000,s_0.840000000,s_0.860000000,s_0.880000000,s_0.900000000,s_0.920000000,s_0.940000000,s_0.960000000,s_0.980000000,s_1.000000000,s_1.020000000,s_1.040000000,s_1.060000000,s_1.080000000,s_1.100000000,s_1.120000000,s_1.140000000,s_1.160000000,s_1.180000000,s_1.200000000,s_1.220000000,s_1.240000000,s_1.260000000,s_1.280000000,s_1.300000000,s_1.318859065,s_1.320000000,s_1.340000000,s_1.360000000,s_1.380000000,s_1.400000000,s_1.420000000,s_1.440000000,s_1.460000000,s_1.480000000,s_1.500000000,s_1.520000000,s_1.540000000,s_1.560000000,s_1.580000000,s_1.600000000,s_1.620000000,s_1.640000000,s_1.660000000,s_1.680000000,s_1.700000000,s_1.720000000,s_1.740000000,s_1.760000000,s_1.780000000,s_1.800000000,s_1.820000000,s_1.840000000,s_1.860000000,s_1.880000000,s_1.900000000,s_1.920000000,s_1.940000000,s_1.960000000,s_1.980000000,s_2.000000000,s_2.020000000,s_2.040000000,s_2.060000000,s_2.080000000,s_2.100000000,s_2.120000000,s_2.140000000,s_2.160000000,s_2.180000000,s_2.200000000,s_2.220000000,s_2.240000000,s_2.260000000,s_2.280000000,s_2.300000000,s_2.320000000,s_2.340000000,s_2.360000000,s_2.380000000,s_2.400000000
160266496900,1.2429179622799227,1.8119046641216545,1.5741889732482204,1.6255868850840927,1.6198485310896489,1.4991514565859108,1.5789560707098347,1.2833135273228438,2.0932902029846385,1.3080469264412962,1.7935043574231284,1.7318013861671913,1.4450577134676321,1.6809479475444966,1.1636223445716132,0.9269220322197488,1.521430512646452,1.4432754418344456,7.747521286772613,44.9327593850882,8.279137170428712,1.9132824252640512,2.333271165241386,4.187211353119329,1.2022113877504632,1.3421070502499264,1.1570897371448747,1.127044720762368,1.1890949924029015,1.4608328827296286,1.4040630433795345,1.3622713080058488,1.3470556854556976,1.4091253175825762,1.4308825330797579,1.897985809756623,1.721962843147886,1.453574546056111,1.5134216863873884,1.464956179897624,1.746486913339103,1.5143136692819394,1.7099287551828388,1.7548491476952814,1.7393728071689698,2.0335082791060657,1.9412298944476496,1.9353447551633807,1.70923415936706,1.6668634431850617,1.70291621006143,1.7556832577458985,2.1799678899091983,1.274803679527341,1.3398712283050092,1.4428090465742909,1.513520247851695,1.4656917589996945,1.5487295371928202,1.4365476689426049,1.3684221071506544,1.6902379541921604,1.7483514411039225,1.5736272744136575,1.215242291315295,1.2016464223895724,1.3141445450227989,1.2894633421536612,1.307964860782569,1.262786562649931,1.1655032349697485,1.0351253138177572,0.944391325932248,0.9233800111516981,0.9314902808150918,0.965106205107086,1.0497707611686222,1.182427505259381,1.0025954350375201,1.1976499499823552,1.1864898153829377,1.0811023999908937,1.0285862475248377,1.0123585296204574,0.9894260995994761,0.9461148450125392,0.9609844434149862,1.0714344144185906,1.1706443125506296,1.2437018348265616,1.3662837149075482,1.4973331930688352,1.5308758738410868,1.468923465775418,1.40701130300797,1.4095004731621414,1.5722053993294234,1.9256490571117144,1.8019701025536117,1.4910019951446856,1.3789232027629625,1.3452821576098826
132970558500,1.5109015600021292,1.1735105570515256,0.840009787148536,1.25391294663323,1.701374225669815,1.0985771573307506,1.0823523358228049,1.091091928285975,1.429545794605922,1.4011091405618588,1.3450427299708343,1.347160571394215,1.136737729364537,1.1006947450666429,1.0538249215307174,1.2453502537469423,1.101326699382833,1.3868999119730887,1.149823591271446,1.3429025076041725,1.181380920295727,1.0054519716395058,1.0786568083426586,1.2496704726840826,1.1688744463197391,1.14539685881734,1.184006156756781,1.2759200125331671,1.5510691616189285,1.431685079173422,1.3850424806963442,1.404519024529465,1.4242403565777468,1.3837296951048257,1.3647242126089336,1.2693028355356586,1.2971063914386403,1.3267169879332932,1.4075262809732043,1.631510913955957,1.591735692219624,1.5313410147174147,1.4246770659522947,1.4218193596322348,1.617120711548984,1.570345208113889,1.4487593875188676,1.445925945977448,1.451020786955951,1.4579763566535342,1.402959319784409,1.335363736565704,1.2402855625333344,1.1054110577894245,1.0264671508032743,1.0025483286136005,1.0105646706044564,1.0402448119710073,1.0830217564287026,1.130712669370381,1.1729337991738278,1.2005912644297831,1.1779542150349454,1.1261431128861437,1.0925761122529885,1.0807367836479953,1.0990345695934751,1.140566857919933,1.1828391215313945,1.21877436715161,1.2557040368749304,1.2967597662141206,1.3337101390907784,1.3551902636217643,1.358197736126884,1.3574901817415392,1.3743179201314457,1.411572806459043,1.4479563363584473,1.4589694107493558,1.4369320155280023,1.391480500964916,1.34027706289469,1.2987753805727946,1.2729801003110517,1.2605765257672714,1.2581724474734162,1.2652997667177273,1.2822712102142475,1.305641793321311,1.3270226137733192,1.3415391121626348,1.3544665631221102,1.3683223086225726,1.377228788104443,1.3764253824628745,1.365612766087716,1.3475795566443676,1.3268343954110264,1.307756892295948,1.2930745548307763,1.2836806253002542
92940331600,1.6506614135032085,1.1748109210401638,0.9820029470778596,1.1514972529859884,1.1928937888066098,1.0596512941659486,1.1347463277511771,1.2517552185638081,0.9623147377117183,0.9708637916945039,1.0284092775503422,1.0342838615515169,1.1564914493180263,1.245025006937847,1.1639425486183403,1.2550579354920628,1.2975087139483357,1.2887922475957285,1.3277508600230665,1.3323277391872816,1.3615661808061832,1.3901851967505776,1.311466784865829,1.2460793129039511,1.328815731467362,1.2846936650443692,1.7367806578843956,1.6073532689667718,1.3061839832711202,1.3079502226107376,1.2314081804502648,1.2282019261550627,1.2447698873039623,1.250273369464295,1.2829097609637385,1.128670387336289,1.005732556605962,1.0799077005638134,1.1829689433425694,1.1353418807308178,1.0953094569997501,1.1193634752138446,1.147310301690736,1.1615932643548772,1.1896787676387397,1.2240309022568459,1.1951556026566157,1.1929928282341922,1.1803283120201076,1.384897484763432,1.607130573821943,1.2912806375138337,1.1576501652646227,1.1960281034334108,1.231081360946937,1.2464173980954627,1.253901362299998,1.2642538398140029,1.2705717236771072,1.2587929161511766,1.230119593817298,1.1951254923960895,1.1794257144248195,1.199714137337277,1.2259040878789331,1.247589429594289,1.2729558100063192,1.3030689286365915,1.3316091633011862,1.351874317503269,1.3622325217024176,1.36546834506459,1.361776240347708,1.3420844194060269,1.3006345817481688,1.2487436173259823,1.1956347357726544,1.1536721350379138,1.1262934077200926,1.1080891094780287,1.0917738472969254,1.0723911344806787,1.0492975129848932,1.0246977547497895,1.0021351907407046,0.9856053241129805,0.9775964176657134,0.9770166323239806,0.9847541436192925,1.0102881438839717,1.0525269540676492,1.0946718701672462,1.1253414639693817,1.14272992841543,1.1489583235072023,1.1469418009834778,1.139640078622672,1.1300674778349646,1.1214483339002828,1.1173248239229292,1.12138536916179,1.1367120748008535
190618140100,1.4205181356672518,1.1935363429705952,1.4097100370675393,1.051618537054636,1.3853439577740152,1.3952624337821995,1.0843391543944894,1.3710219041885736,1.4918972816945006,1.6188887185190042,1.6757079466968314,1.191037405318701,1.1668599076479027,1.3887829372317284,1.5927227862987485,0.9513902124857097,1.7028329145639645,1.2336714908595148,1.5799103485867363,1.9064642870296018,1.5085268112461718,1.4752914912085104,2.04489737800781,2.436087604681141,1.6173381668296978,1.2248397792923407,1.286796161212553,1.1810451605347225,1.3018999297001208,1.0388378035414296,1.1185446200500866,1.2338539562729989,1.2851807395634591,1.2395356154676862,1.2751609298064177,1.307543250263746,1.33444420776167,1.257134209293265,1.255474224615792,1.2952698218600087,1.3591684096579062,1.4370934960347233,1.461344175733771,1.4516432353529938,1.44254572129982,1.4568133907959089,1.4690673471743683,1.4673088425727705,1.369601748853747,1.242622098332748,1.1657398843033386,1.1585518514796092,1.1560776200807112,1.1421507276152574,1.1321387289799691,1.1550498869904644,1.2231746975886815,1.301761756294135,1.342042909483091,1.344254080725848,1.329016840341595,1.313556597774493,1.3137233141067053,1.342583743794829,1.4004908602423585,1.4772601863378958,1.5543421568765754,1.5711738246557831,1.4617524461052187,1.314220488187749,1.2209519151876251,1.170477537120789,1.1410033863674842,1.1242468174430356,1.118219496995224,1.1216271793705213,1.131416392915748,1.1429900196301828,1.152084839758409,1.1569078659837115,1.1595376395202541,1.16569493614658,1.181078921317254,1.2050752566480076,1.2307384323130535,1.252207347530175,1.2683123027527847,1.2808135849452067,1.2923231063362395,1.304978470749239,1.3190091313351318,1.3315213505298382,1.3376855294670214,1.3351828004689217,1.3270087369705876,1.318559605210082,1.3136324428438861,1.3136455925400037,1.318619528845255,1.3279746658714333,1.3408321087469859,1.3560781289239452
191107901500,1.209620429134162,1.0677118940549455,1.355494329061346,1.5640073736156168,1.0195509745156726,1.1340757282793494,1.3921737271900565,1.4726149989476982,1.1643557044642556,1.0234337346084055,1.1792168535742098,1.5015788658564622,1.176894931145969,1.0467117642735166,1.012665581157411,1.131981853824108,0.9760059166156614,0.9961311555243244,1.4273167808150977,1.440730840472449,1.533929525447729,1.404214167088202,1.3919514125975285,1.473790442853022,1.468551555898444,1.4928623335343962,1.3376263836622162,1.197335443631953,1.1763301392087302,1.198220248484915,1.3606813513000118,1.3751588779019153,1.4063001755729614,1.3043243924025354,1.218300495480068,1.355363109694083,1.2640516011004312,1.1790104932462109,1.2258418457603362,1.1713480926135045,1.187686834359781,1.1565527043415451,1.1943975827624853,1.279032402571678,1.2554816969121014,1.2393185321289928,1.1866552024432142,1.1820707349731234,1.097397911086807,1.077633600937014,1.049781426674584,0.9473016299406636,0.9369834215557669,0.9197510349265049,0.9292334123911822,0.9880636392743279,0.9976636064409677,1.1086310886453359,1.172521433720535,1.222318844472918,1.2885772359506191,1.317724188148483,1.3377220865887125,1.387818693783465,1.4251689622589223,1.4360915337337263,1.4479520254523073,1.4301758863997154,1.3823932105971966,1.3479323811963126,1.3259846305038743,1.3010373519607044,1.295828142814723,1.3275207404742595,1.3823823586719617,1.4242904985212475,1.4204585247228614,1.386205896225628,1.36733525990612,1.3877322414428646,1.3759038808314221,1.3411703934755836,1.322480546523978,1.3088318104326504,1.3016185654012162,1.3010447229673365,1.2969984007332276,1.287572907479124,1.2771261403182084,1.2699848265007498,1.2664380486475664,1.262049809342026,1.2535045315812308,1.2431746765096439,1.233334669984742,1.2211261301553202,1.2003551081227417,1.1714416065289028,1.1468453246945618,1.1350038102544466,1.1321373759387174,1.1305207329453093
160685790300,1.329967104557835,1.863794983022104,1.1286478672754494,1.2946977838391474,1.4635935693851423,1.4311747890059803,1.460725456435063,1.6633978777923624,2.3852284179713763,1.6478004658832182,1.3828747426710726,1.8216726966479067,1.8130619636708787,2.632750380982512,2.5363376045483084,1.422126987245946,1.2210656075299753,0.7824910466493837,0.906829428163435,1.2579277034525054,1.1898329970975243,1.2423602462770889,1.11475757535609,0.8395366474684057,1.1178298733434529,1.2432458108769564,1.0860664833684797,0.917432212668197,1.3653526848144601,1.628889854177343,1.7164570404383914,1.5805419554530253,1.163446208031579,1.5433739036881904,1.4680322751609323,1.5586315650413554,1.6523022861942787,1.469556819221061,1.6868323725184973,1.26174491111859,1.3746389807923325,1.6175317156180269,1.3993883039404338,1.4091431230467286,1.357693750969025,1.4978115943540673,1.3855788695420943,1.378614997636704,1.2942911379524509,1.3739671920529182,1.3897991183638174,1.2723433181561978,1.2573947432021733,1.3201136948602812,1.2992841059579099,1.2274942942185074,1.1896621873996076,1.244728024556835,1.4630964360566607,1.4245485253387626,1.2689325159464826,1.0896313979931123,0.960411432960658,0.9523452719116496,1.0268072340234804,0.9988526349491571,0.8462937716670584,0.9389186485174861,1.0369161770329938,1.190521723930991,1.3417413086349224,1.366731975067715,1.3548922749093122,1.3446539100150408,1.3419956071362686,1.3999052259934697,1.512970418381978,1.5826053941684768,1.526229553805166,1.5940086129406894,1.597960977292493,1.502164786151511,1.3378170850599203,1.1943689940087,1.1530432592160433,1.1529454255959168,1.124366558255145,1.0970877688486793,1.0784504985447763,1.0715454633882824,1.0839631445049942,1.12519811406219,1.207958859925059,1.3473253608179032,1.5467393831186496,1.7578966893681,1.8283570671194596,1.670216291498237,1.6292836759175775,1.8779948591781448,2.046965576986834,2.0351346302805546
53067337100,1.3378714052428593,1.4800402292458479,1.7580191622101902,1.053215937832178,1.0953040067486979,1.8453130538126474,1.7133563055222472,2.299056026361422,1.4450367236272144,2.1025432607989987,1.1572616558250388,1.6016409146182737,1.548705241446668,1.1918870477484553,1.2806240339157757,1.9850834301352227,1.2037283195627817,1.365063595652589,1.3272592250019417,2.7565005328970984,3.6696637798387153,1.2075728158108257,1.4358513509903235,1.3879233092413301,1.4569931314111038,1.1239710099782751,8.067873792303585,26.953088595348905,2.0723544810923746,1.2632005952792678,1.4909918506479476,1.4646644745821114,1.9191847735224843,2.780682198153886,1.9799539739761343,2.5322986361584663,2.5586683227896416,1.1882161705123377,2.17706218524851,2.2117747124046403,2.3187145613443354,2.222604344128047,1.6732746417365478,0.9342755175490585,0.6995306754448354,0.825072409493686,0.993844170175546,1.0166911067561395,1.5977268995056852,1.7822602311973517,1.7503920327482474,1.4299559582617374,1.2590605573391234,1.146774862199071,1.0440367606581715,1.0047136493020008,1.0439713052425978,1.1090037288747485,1.3523457910326413,2.573497903251625,1.1877555157197908,1.1314969138998905,1.0926703432501086,1.0788874976390588,1.0839878086583368,1.095856603054268,1.1137594797521233,1.1484715198117412,1.207459004307222,1.4477097436022495,1.481444116227235,2.2625078934585146,2.8005764463697775,4.039587465097409,11.73682005591816,8.450937999501162,3.5368838417790998,2.2744729798266126,1.7174862359400722,1.5034480240953187,1.4667566197883064,1.6014802240206303,1.5392875636327101,1.4919532017430248,1.4485604682860747,1.4212508190000597,1.4154070968765824,1.4330426341777431,1.4702739642050635,1.5982057493296737,1.6174697455511804,1.7871044912028637,2.0201465841253246,2.2337395712009704,2.474998882036344,2.793506894178734,3.118560717485829,3.201506236410019,2.9587697163758424,2.6002551940518526,2.2758213837730503,2.020209665581125
192940891200,1.425971425633503,1.4006320943406778,2.317385333523425,1.9493761814508395,2.326912007600972,1.6238074088783816,1.3681268881248252,1.1448226850654597,1.0968745610514767,1.3692241651047017,1.1046396331370143,2.6713588572877702,1.3793935225347915,6.0768035155096864,3.4924264870856727,2.151167661216085,1.6110345253594756,1.1522787286897656,1.8331352130654115,1.2802230918486999,1.566721070562349,1.740645518288064,1.5596393301308675,1.1177370159509266,0.8494674258591206,1.5991888595077481,1.6613124137521196,1.3757763349439476,1.4901032952737672,1.4891008467389584,1.4261183476656687,1.6289064324757603,2.0085958168437794,1.3793849522292798,1.3791144447384094,1.5373428147210801,1.58175716506471,1.5871790567028905,1.7668619428245986,1.6724154186005828,1.547278897941777,1.3921276649597996,2.368120657143328,1.1645331693393832,1.8654981223662124,1.4704879299447866,1.3496652486176597,1.3568720895346251,1.4494763088995304,1.411207320360398,1.5387772749383573,1.7625495663549133,1.7405180878889814,1.9654475137459757,2.1401311954462425,1.6494436766173572,1.5026037198380209,1.4639738945116272,1.4617053772118256,1.5044433666128036,1.6195990097509578,1.6995074879209193,1.6492649101758674,1.5908231360288767,1.5516239018132292,1.507026843392292,1.4573021115268905,1.4217231531739734,1.427859587735487,1.653882440325352,2.055790222356864,1.7645233728660823,1.5070328089228961,1.3147210814720727,1.1876999972586932,1.2886953093511964,2.4013004471804114,1.413922792323931,1.883649274701319,1.485210973557755,1.1630303553915353,0.9564426544195906,0.9117353368752074,0.9189294179913594,0.9784463178966951,1.0300642716987383,1.0412153281787777,1.0331609389333094,1.0880638921373744,1.1770478650406044,1.2426170590461942,1.2876881589223161,1.323713347271194,1.3518143173913901,1.3627219828805015,1.3376449003109654,1.2593823213227344,1.1721193085299804,1.2355536521870054,1.4334099578118036,1.5454027680484013,1.5280158008423128
181745526400,1.6523479568632338,1.4928665426852978,1.575992618638327,1.4555707418761163,1.3067527195953632,1.4661190022137427,1.2559860812401216,1.254050230931582,1.462661849883288,1.2742025930923817,1.2670989766218623,1.3478202140109439,1.8136605649426731,1.7796485842031664,1.5636346319273826,1.9776501065459944,1.2343182581349983,1.2471151327741612,1.1258306004981349,0.9456591365055453,1.1562343403865265,0.9873571565702627,1.0555364687959257,1.0805910976267454,1.8868518343430314,1.5950885507941237,1.4356685920566752,1.3083530239053967,1.3345226684557483,1.314681227162471,1.4283608504049858,1.9357606297861505,1.5831600526879797,1.4469288067468964,1.4489253508746798,1.2847200076523706,1.3139662105750298,1.2754708604157692,1.3199226429848137,1.2690566783164385,1.2595468053130268,1.308789541717035,1.4889190305873619,1.6284730657275628,1.659373687701542,1.5847358863141587,1.6158570813436357,1.6265869678519842,1.6918028009113055,1.5066923727125174,1.321255938854532,1.2978122297609995,1.1785893442187692,1.0052121532244982,1.036865774134276,1.027627490830357,0.9374264439123406,0.9113343433635351,0.8926148661757503,0.8913185332487068,0.9724197094632495,1.054374187978128,1.0632940950585417,1.0301236312029853,1.076680608300879,1.1422827102975046,1.2087754286939192,1.1866317781368205,1.1820670793671075,1.2205378250712644,1.28863128340714,1.3498414448296434,1.3987054888224868,1.4683784553215693,1.5387277811772184,1.507924459625241,1.5007384461409878,1.5656441844479332,1.667536798578186,1.7698950258830635,1.807973903732584,1.7762381172399502,1.7227714080667949,1.657129243959073,1.5675350291860337,1.486148309356338,1.4350126120166895,1.4094035774397347,1.3998144228874734,1.398895388567073,1.4018645520234252,1.4068007048673126,1.416139190845175,1.438996323634061,1.471463796497164,1.5058025171068485,1.5476572592088615,1.5929599082068553,1.6348896810010582,1.6697076530876152,1.6941253627685051,1.6966486086451493
152688398700,1.0333085615671858,0.9624480127101148,0.9904742865185544,0.9497173850695183,0.9630187189658895,1.0076051581383916,1.0057618651276292,1.0277912793486392,0.9809247808311478,1.0443763353881361,1.0555356926026291,1.0607764754531683,1.088960200372631,1.094716339090657,1.0532883645862199,1.0369182692403127,1.0150216116188673,1.0126711464571059,1.0418764308288335,1.0434675992163407,1.0168892902167443,0.9914026763426036,1.002925056424896,1.0397023211244607,1.0357651347690982,0.9971834569863889,0.9685440098041663,0.9688705464631778,0.9894105866256175,1.0086927709618512,1.0282527203463236,1.0368563964044835,1.03651102757908,1.0340631901232396,1.0337541436761348,1.0361628803730087,1.0419811692798038,1.045508054752226,1.0407697756658068,1.0338737905363664,1.0305949820603502,1.0355718851028148,1.0461254907771227,1.0561506284431057,1.0629563923371999,1.067172324247026,1.0703042454333254,1.0704524631672345,1.0710703438863354,1.0672550292637912,1.060373741089295,1.0512162600689665,1.0393053157901044,1.0262170112613902,1.016360284305123,1.0122186083061586,1.0126002716186189,1.015605504345883,1.0205206717688626,1.0265601689032604,1.0318939277702481,1.0349865002781444,1.0359148743546822,1.0356474588677778,1.035111938074758,1.035070571301428,1.0360236044395756,1.0380582496963766,1.0409890488050526,1.0446056916161266,1.0486943988935313,1.0529310464760555,1.0569985918339238,1.06080354127335,1.064444529196094,1.0680142526901577,1.0714825779239388,1.0747452159865611,1.077767451057736,1.0806753944210081,1.08369568750034,1.0870034576163468,1.0906150688740708,1.0943891326017063,1.098109143157218,1.101586638285644,1.1047242261537449,1.107503925065508,1.1099210078181339,1.1119258364974325,1.1134201886284245,1.114304421789702,1.1145407447834694,1.1141980143769172,1.1134575664192952,1.11257774076173,1.1118343459307567,1.1114651117780274,1.1116386766374513,1.1124502188298067,1.1139323826895933,1.1160683143633652
