spacing,cv_rmse_ns
0.45,31.24155057649249
0.4696969696969697,31.028339858910094
0.4893939393939394,33.30945262987317
0.509090909090909,33.102444640912665
0.5287878787878788,32.948100373392315
0.5484848484848485,33.14942059974199
0.5681818181818181,31.267477076606756
0.5878787878787879,31.551786424757193
0.6075757575757575,32.1093168052523
0.6272727272727272,32.77819898909741
0.646969696969697,32.28635500709758
0.6666666666666666,31.009794491935335
0.6863636363636363,29.470487640972344
0.706060606060606,28.4418052288575
0.7257575757575758,28.670443471300473
0.7454545454545454,31.545152446553566
0.7651515151515151,32.60944268425748
0.7848484848484849,32.92424752683502
0.8045454545454545,32.80032815741757
0.8242424242424242,32.667806877077005
0.843939393939394,32.99598532675278
0.8636363636363635,33.017417508797124
0.8833333333333333,32.47171780977855
0.9030303030303031,31.74308204099307
0.9227272727272726,31.517206569280543
0.9424242424242424,31.773034173048412
0.9621212121212122,32.19500471326938
0.9818181818181817,32.55223825420517
1.0015151515151515,32.62289968245895
1.0212121212121212,32.311545235300144
1.0409090909090908,32.0940946342602
1.0606060606060606,31.946444776824492
1.0803030303030303,31.81164673001453
1.0999999999999999,31.568112435659856
1.1196969696969696,31.372147762419367
1.1393939393939394,31.31989581163676
1.159090909090909,31.46746454912759
1.1787878787878787,31.787136161643307
1.1984848484848485,32.23589688365763
1.218181818181818,32.74562074844678
1.2378787878787878,33.12356841327542
1.2575757575757576,33.240714961286976
1.2772727272727271,33.203628316338886
1.2969696969696969,33.131694547848404
1.3166666666666667,33.00630877389303
1.3363636363636362,32.80896519242279
1.356060606060606,32.596896910364606
1.3757575757575757,32.46255017276342
1.3954545454545453,32.459492033059334
1.415151515151515,32.56474415939517
1.4348484848484848,32.71038626456015
1.4545454545454544,32.83836300926713
1.4742424242424241,32.92697469679746
1.493939393939394,32.986678971371745
1.5136363636363634,33.031950322340435
1.5333333333333332,33.064949309615045
1.553030303030303,33.08065947895689
1.5727272727272725,33.08083528934699
1.5924242424242423,33.07215219089749
1.612121212121212,33.052916995428994
1.6318181818181816,33.00855330255343
1.6515151515151514,32.92074318025836
1.6712121212121211,32.783837092346864
1.6909090909090907,32.614147628881845
1.7106060606060605,32.44353119862469
1.7303030303030302,32.306512750968835
1.7499999999999998,32.228101915525166
1.7696969696969695,32.213563873710775
1.7893939393939393,32.24675013337999
1.8090909090909089,32.29980161867337
1.8287878787878786,32.346210555316134
1.8484848484848484,32.36876903132092
1.868181818181818,32.361777047214574
1.8878787878787877,32.32957588573686
1.9075757575757575,32.28227774891338
1.927272727272727,32.2302769541332
1.9469696969696968,32.1797352110601
1.9666666666666666,32.130653225035466
1.986363636363636,32.07830294055456
2.006060606060606,32.017258396075256
2.025757575757576,31.94559488092008
2.0454545454545454,31.866859596504177
2.065151515151515,31.789083616909227
2.084848484848485,31.72180399965876
2.1045454545454545,31.672909185860025
2.124242424242424,31.646810026162406
2.143939393939394,31.644353093563872
2.1636363636363636,31.663933902547615
2.183333333333333,31.70292819455731
2.203030303030303,31.75876646957748
2.2227272727272727,31.829407269511673
2.242424242424242,31.913303951713115
2.262121212121212,32.00907176051733
2.2818181818181817,32.115008596140385
2.3015151515151513,32.22857102677733
2.3212121212121213,32.3459871265062
2.340909090909091,32.4623272575878
2.3606060606060604,32.572270513142875
2.3803030303030304,32.671369320723784
2.4,32.75718447763396
