id,x,y,z,t,dt,signalStartBin,signalStopBin,signal,curveResidual,dcurveResidual,risetime,spDistance,sat,waveform_peak_bin,waveform_centroid_bin,waveform_q10_bin,waveform_q50_bin,waveform_q90_bin,waveform_width_ns,xp_m,yp_m,radius_m,q,q_mod_h,t_centered_ns,pred_plane_ns,resid_plane_ns,pred_hyperbolic_ns,resid_hyperbolic_ns,pred_hyperbolic+h_ns,resid_hyperbolic+h_ns,pred_hyperbolic+free-spacing_ns,resid_hyperbolic+free-spacing_ns
589,-21389.5,1789.7,21.7,572717853,,242,692,625.2,,,,220.8,1,243,252.64441565417977,242,244,249,175.0,218.70973815146775,-29.254049603426544,220.8,4.345025377025183,0.3884481806378275,4234.0,4337.105152017918,-103.10515201791804,4232.42513283616,1.5748671638402811,4230.469403636286,3.530596363713812,4226.5105722154685,7.489427784531472
1338,-23637.3,3088.3,29.7,572709368,,241,691,346.1,,,,542.7,0,242,251.3942448680352,242,243,248,150.0,228.49188629861942,493.7731775780771,542.7,3.284940164550081,0.647222033625177,-4251.0,-4131.1645428242455,-119.83545717575453,-4236.83419093084,-14.165809069159877,-4248.559089070769,-2.440910929230995,-4232.400875595375,-18.5991244046254
590,-19174.0,522.6,17.5,572726208,,241,691,144.2,,,,590.4,0,242,263.4951110574602,242,243,261,475.0,220.20994284424796,-547.0678687807496,590.4,1.6294116655353559,0.310552600072904,12589.0,12679.867923992373,-90.86792399237311,12576.39943274317,12.60056725682989,12582.51362859097,6.4863714090297435,12582.83359329331,6.166406706690395
1327,-22896.0,1787.7,25.0,572713599,,241,691,138.4,,,,579.9,0,243,252.75497841526249,242,244,250,200.0,-531.7170650432824,234.647798255235,579.9,4.158500859780802,0.20192366339344647,-20.0,70.2971783054062,-90.2971783054062,-25.50877131041551,5.508771310415511,-16.135681326374698,-3.864318673625302,-27.976367566378425,7.976367566378425
634,-25881.1,4405.8,35.4,572700925,,242,692,126.4,,,,1050.3,0,243,264.1925618564622,242,244,264,550.0,256.66269735855394,1020.2627734409563,1050.3,2.0318498414094863,0.7129907759470344,-12694.0,-12634.949040123522,-59.05095987647837,-12711.880246655594,17.88024665559351,-12718.258933179204,24.258933179204178,-12706.302504766032,12.302504766032143
1326,-18391.8,-822.8,14.2,572730635,,242,692,104.0,,,,993.8,0,243,264.3003389830508,242,244,308,1650.0,-558.5486658025541,-819.3745446994733,993.8,-0.07725014463841084,1.241608920824041,17016.0,17089.063272367843,-73.06327236784273,16993.645796784633,22.354203215367306,16984.06665227651,31.933347723490442,16997.918505584927,18.081494415073394
1339,-25143.6,3096.5,31.8,572705121,,241,691,68.9,,,,913.8,0,242,290.31258366800535,241,244,539,7450.0,-512.9843144795623,759.8507933529876,913.8,2.856097335656177,0.21837920473127337,-8498.0,-8411.94414097575,-86.05585902425082,-8504.135298323936,6.1352983239357854,-8494.770759908804,-3.2292400911956065,-8510.40282270456,12.402822704560094
636,-24383.8,4399.6,36.8,572705156,,241,691,63.7,,,,1248.1,0,243,280.4753250384454,242,244,467,5625.0,995.4016633942254,752.5594717134243,1248.1,1.2422965795816607,1.2422965795816607,-8463.0,-8333.826022806861,-129.17397719313885,-8442.99067560486,-20.00932439513963,-8446.53049006653,-16.469509933469453,-8437.23254390055,-25.76745609944919
604,-16809.9,-852.1,12.9,572735170,,241,691,61.0,,,,1120.7,0,242,282.7639210347175,241,244,479,5950.0,202.18891536322508,-1101.795199228429,1120.7,0.16946394232391215,0.16946394232391215,21551.0,21633.66060758886,-82.66060758885942,21532.381363987606,18.618636012393836,21538.41824134272,12.58175865728117,21534.68433567596,16.31566432403997
598,-22139.4,3086.0,28.4,572713639,,241,691,57.8,,,,997.8,0,243,281.05600000000004,241,244,461,5500.0,970.913321979045,229.00269896502218,997.8,1.4427664286999704,0.1239073632375185,20.0,132.78577796451717,-112.78577796451717,34.116294787273866,-14.116294787273866,38.13545270904688,-18.13545270904688,19.009922818466876,0.990077181533124
